phase,trial,cancel_rate,mode,duration_sec,ids_alert,ips_blocked,victim_cpu_avg,victim_cpu_max,cpu_threshold_exceeded,timestamp
1,1,0.5,A,20,False,False,53.62,70.2,True,2026-05-19T16:50:56
1,1,0.5,B,20,False,False,53.62,70.2,True,2026-05-19T16:50:56
1,1,0.6,A,20,False,False,54.18,69.9,False,2026-05-19T16:51:43
1,1,0.6,B,20,False,False,54.18,69.9,False,2026-05-19T16:51:43
1,1,0.7,A,20,False,False,54.38,69.4,False,2026-05-19T16:52:30
1,1,0.7,B,20,False,False,54.38,69.4,False,2026-05-19T16:52:30
1,1,0.8,A,20,False,False,55.44,70.8,True,2026-05-19T16:53:17
1,1,0.8,B,20,False,False,55.44,70.8,True,2026-05-19T16:53:17
1,1,0.9,A,20,True,False,55.79,71.4,True,2026-05-19T16:54:04
1,1,0.9,B,20,False,False,55.79,71.4,True,2026-05-19T16:54:04
1,1,1.0,A,20,True,False,55.69,71.1,True,2026-05-19T16:54:51
1,1,1.0,B,20,False,False,55.69,71.1,True,2026-05-19T16:54:51
2,1,0.85,A,20,True,False,50.53,62.3,False,2026-05-19T16:55:37
2,2,0.85,A,20,True,False,52.21,64.7,False,2026-05-19T16:56:23
2,1,0.825,A,20,True,False,51.79,63.8,False,2026-05-19T16:57:10
2,2,0.825,A,20,True,False,51.95,65.5,False,2026-05-19T16:57:56
2,1,0.8125,A,20,False,False,51.4,63.0,False,2026-05-19T16:58:43
2,2,0.8125,A,20,False,False,51.29,64.6,False,2026-05-19T16:59:29
2,1,0.8187,A,20,False,False,49.59,64.0,False,2026-05-19T17:00:15
2,2,0.8187,A,20,False,False,51.8,63.9,False,2026-05-19T17:01:02
