cancel_rate,mode,duration_sec,ids_alert,ips_blocked,victim_cpu_avg,victim_cpu_max,cpu_threshold_exceeded,timestamp
0.5,A,20,FALSE,FALSE,1.68,5.5,FALSE,2026-05-19T16:00:40
0.5,B,20,FALSE,FALSE,1.68,5.5,FALSE,2026-05-19T16:00:40
0.6,A,20,FALSE,FALSE,1.68,4.6,FALSE,2026-05-19T16:01:27
0.6,B,20,FALSE,FALSE,1.68,4.6,FALSE,2026-05-19T16:01:27
0.7,A,20,FALSE,FALSE,1.68,3.8,FALSE,2026-05-19T16:02:14
0.7,B,20,FALSE,FALSE,1.68,3.8,FALSE,2026-05-19T16:02:14
0.8,A,20,FALSE,FALSE,1.88,3,FALSE,2026-05-19T16:03:01
0.8,B,20,FALSE,FALSE,1.88,3,FALSE,2026-05-19T16:03:01
0.9,A,20,TRUE,FALSE,2.17,7,FALSE,2026-05-19T16:03:48
0.9,B,20,FALSE,FALSE,2.17,7,FALSE,2026-05-19T16:03:48
1,A,20,TRUE,FALSE,1.73,4.5,FALSE,2026-05-19T16:04:35
1,B,20,FALSE,FALSE,1.73,4.5,FALSE,2026-05-19T16:04:35
0.85,A,20,FALSE,FALSE,1.85,4.6,FALSE,2026-05-19T16:05:21
0.85,A,20,FALSE,FALSE,1.75,3.8,FALSE,2026-05-19T16:06:08
0.875,A,20,TRUE,FALSE,1.77,5.8,FALSE,2026-05-19T16:06:54
0.875,A,20,TRUE,FALSE,2.06,6.3,FALSE,2026-05-19T16:07:40
0.8625,A,20,TRUE,FALSE,1.63,3.6,FALSE,2026-05-19T16:08:27
0.8625,A,20,TRUE,FALSE,1.81,4.2,FALSE,2026-05-19T16:09:13
0.8562,A,20,TRUE,FALSE,2.08,4.6,FALSE,2026-05-19T16:09:59
0.8562,A,20,FALSE,FALSE,1.48,6.3,FALSE,2026-05-19T16:10:46
0.5,A,20,FALSE,FALSE,46.14,74,TRUE,2026-05-19T16:15:56
0.5,B,20,FALSE,FALSE,46.14,74,TRUE,2026-05-19T16:15:56
0.6,A,20,FALSE,FALSE,48.47,74.5,TRUE,2026-05-19T16:16:45
0.6,B,20,FALSE,FALSE,48.47,74.5,TRUE,2026-05-19T16:16:45
0.7,A,20,FALSE,FALSE,53.85,75.4,TRUE,2026-05-19T16:17:34
0.7,B,20,FALSE,FALSE,53.85,75.4,TRUE,2026-05-19T16:17:34
0.8,A,20,FALSE,FALSE,55.66,75.2,TRUE,2026-05-19T16:18:22
0.8,B,20,FALSE,FALSE,55.66,75.2,TRUE,2026-05-19T16:18:22
0.9,A,20,TRUE,FALSE,56.72,74.8,TRUE,2026-05-19T16:19:11
0.9,B,20,FALSE,FALSE,56.72,74.8,TRUE,2026-05-19T16:19:11
1,A,20,TRUE,FALSE,55.88,76.4,TRUE,2026-05-19T16:20:00
1,B,20,FALSE,FALSE,55.88,76.4,TRUE,2026-05-19T16:20:00
0.85,A,20,TRUE,FALSE,46.51,61.4,FALSE,2026-05-19T16:20:46
0.85,A,20,TRUE,FALSE,44.5,61.7,FALSE,2026-05-19T16:21:33
0.825,A,20,FALSE,FALSE,45.79,62,FALSE,2026-05-19T16:22:19
0.825,A,20,TRUE,FALSE,43.86,62.4,FALSE,2026-05-19T16:23:05
0.8125,A,20,FALSE,FALSE,45.82,62.5,FALSE,2026-05-19T16:23:52
0.8125,A,20,TRUE,FALSE,45.49,61.5,FALSE,2026-05-19T16:24:38
0.8063,A,20,FALSE,FALSE,45.63,63.3,FALSE,2026-05-19T16:25:25
0.8063,A,20,FALSE,FALSE,45.93,61.4,FALSE,2026-05-19T16:26:11
0.5,A,20,FALSE,FALSE,59.06,74.7,TRUE,2026-05-19T16:32:11
0.5,B,20,FALSE,FALSE,59.06,74.7,TRUE,2026-05-19T16:32:11
0.6,A,20,FALSE,FALSE,59.12,74.7,TRUE,2026-05-19T16:32:59
0.6,B,20,FALSE,FALSE,59.12,74.7,TRUE,2026-05-19T16:32:59
0.7,A,20,FALSE,FALSE,59.65,75,TRUE,2026-05-19T16:33:46
0.7,B,20,FALSE,FALSE,59.65,75,TRUE,2026-05-19T16:33:46
0.8,A,20,FALSE,FALSE,59.69,74.6,TRUE,2026-05-19T16:34:33
0.8,B,20,FALSE,FALSE,59.69,74.6,TRUE,2026-05-19T16:34:33
0.9,A,20,TRUE,FALSE,60.09,75.5,TRUE,2026-05-19T16:35:20
0.9,B,20,FALSE,FALSE,60.09,75.5,TRUE,2026-05-19T16:35:20
1,A,20,TRUE,FALSE,60.02,75,TRUE,2026-05-19T16:36:08
1,B,20,FALSE,FALSE,60.02,75,TRUE,2026-05-19T16:36:08
0.85,A,20,TRUE,FALSE,50.2,64.4,FALSE,2026-05-19T16:36:54
0.85,A,20,TRUE,FALSE,51.85,64.3,FALSE,2026-05-19T16:37:40
0.825,A,20,FALSE,FALSE,49.6,63.7,FALSE,2026-05-19T16:38:27
0.825,A,20,FALSE,FALSE,51.79,64.5,FALSE,2026-05-19T16:39:13
0.8375,A,20,TRUE,FALSE,51.81,63.9,FALSE,2026-05-19T16:40:00
0.8375,A,20,TRUE,FALSE,49.71,64.1,FALSE,2026-05-19T16:40:46
0.8313,A,20,TRUE,FALSE,51.41,64,FALSE,2026-05-19T16:41:33
0.8313,A,20,TRUE,FALSE,51.79,66.1,FALSE,2026-05-19T16:42:19
